lat,lon,time,kph,km
43.515805,1.514017,"2013/12/08 15:19:02",15.6,1.103312
43.515827,1.514063,"2013/12/08 15:19:03",15.7,1.107681
43.515849,1.514108,"2013/12/08 15:19:04",15.7,1.112051
43.51587,1.514153,"2013/12/08 15:19:05",15.7,1.11642
43.515892,1.514198,"2013/12/08 15:19:06",15.7,1.12079
43.515913,1.514243,"2013/12/08 15:19:07",15.7,1.125159
43.515935,1.514288,"2013/12/08 15:19:08",15.7,1.129529
43.515957,1.514333,"2013/12/08 15:19:09",15.7,1.133898
43.515978,1.514379,"2013/12/08 15:19:10",15.7,1.138268
43.516,1.514424,"2013/12/08 15:19:11",15.7,1.142637
43.516022,1.514469,"2013/12/08 15:19:12",15.7,1.147007
43.516043,1.514514,"2013/12/08 15:19:13",15.7,1.151377
43.516065,1.514559,"2013/12/08 15:19:14",15.7,1.155746
43.516087,1.514604,"2013/12/08 15:19:15",15.7,1.160116
43.516108,1.514649,"2013/12/08 15:19:16",15.7,1.164485
43.51613,1.514695,"2013/12/08 15:19:17",15.7,1.168855
43.516153,1.514741,"2013/12/08 15:19:18",16.3,1.173373
43.516175,1.514787,"2013/12/08 15:19:19",16.3,1.177891
43.516198,1.514834,"2013/12/08 15:19:20",16.3,1.182409
43.516221,1.51488,"2013/12/08 15:19:21",16.3,1.186927
43.516244,1.514927,"2013/12/08 15:19:22",16.3,1.191445
43.516266,1.514973,"2013/12/08 15:19:23",16.3,1.195963
43.516289,1.515019,"2013/12/08 15:19:24",16.3,1.20048
43.516312,1.515066,"2013/12/08 15:19:25",16.3,1.204998
43.516334,1.515112,"2013/12/08 15:19:26",16.3,1.209516
43.516357,1.515159,"2013/12/08 15:19:27",16.3,1.214034
43.51638,1.515205,"2013/12/08 15:19:28",16.3,1.218552
43.516402,1.515251,"2013/12/08 15:19:29",16.3,1.22307
43.516425,1.515298,"2013/12/08 15:19:30",16.3,1.227588
43.516448,1.515344,"2013/12/08 15:19:31",16.3,1.232106
43.51647,1.515391,"2013/12/08 15:19:32",16.3,1.236624
43.516492,1.515436,"2013/12/08 15:19:33",15.7,1.24099
43.516512,1.515482,"2013/12/08 15:19:34",15.7,1.245356
43.516534,1.515528,"2013/12/08 15:19:35",15.7,1.249721
43.516554,1.515573,"2013/12/08 15:19:36",15.7,1.254087
43.516579,1.515621,"2013/12/08 15:19:37",17.2,1.258872
43.516604,1.51567,"2013/12/08 15:19:38",17.2,1.263657
43.51663,1.515718,"2013/12/08 15:19:39",17.2,1.268442
43.516655,1.515766,"2013/12/08 15:19:40",17.2,1.273228
43.51668,1.515814,"2013/12/08 15:19:41",17.2,1.278013
43.516705,1.515863,"2013/12/08 15:19:42",17.2,1.282798
43.516729,1.515911,"2013/12/08 15:19:43",17.2,1.287583
43.516754,1.515959,"2013/12/08 15:19:44",17.2,1.292368
43.516779,1.516007,"2013/12/08 15:19:45",17.2,1.297153
43.516804,1.516055,"2013/12/08 15:19:46",17.2,1.301938
43.516817,1.516109,"2013/12/08 15:19:47",16.4,1.306485
43.51683,1.516162,"2013/12/08 15:19:48",16.4,1.311032
43.516843,1.516216,"2013/12/08 15:19:49",16.4,1.315578
43.516855,1.51627,"2013/12/08 15:19:50",16.4,1.320125
43.516868,1.516323,"2013/12/08 15:19:51",16.4,1.324672
43.516881,1.516377,"2013/12/08 15:19:52",16.4,1.329218
43.516893,1.51643,"2013/12/08 15:19:53",16.4,1.333765
43.516906,1.516484,"2013/12/08 15:19:54",16.4,1.338312
43.516919,1.516537,"2013/12/08 15:19:55",16.4,1.342858
43.516931,1.516591,"2013/12/08 15:19:56",16.4,1.347405
43.516944,1.516644,"2013/12/08 15:19:57",16.4,1.351952
43.516957,1.516698,"2013/12/08 15:19:58",16.4,1.356498
43.51697,1.516751,"2013/12/08 15:19:59",16.4,1.361045
43.516982,1.516805,"2013/12/08 15:20:00",16.4,1.365592
43.516995,1.516858,"2013/12/08 15:20:01",16.4,1.370138
43.517013,1.516913,"2013/12/08 15:20:02",17.4,1.374981
43.517031,1.516968,"2013/12/08 15:20:03",17.4,1.379823
43.517049,1.517022,"2013/12/08 15:20:04",17.4,1.384666
43.517067,1.517077,"2013/12/08 15:20:05",17.4,1.389508
43.517085,1.517131,"2013/12/08 15:20:06",17.4,1.394351
43.517123,1.517141,"2013/12/08 15:20:07",15.2,1.398567
43.51716,1.517151,"2013/12/08 15:20:08",15.2,1.402784
43.517197,1.51716,"2013/12/08 15:20:09",15.2,1.407001
43.517234,1.51717,"2013/12/08 15:20:10",15.2,1.411218
43.517271,1.51718,"2013/12/08 15:20:11",15.2,1.415435
43.517309,1.51719,"2013/12/08 15:20:12",15.2,1.419652
43.517346,1.517199,"2013/12/08 15:20:13",15.2,1.423869
43.517383,1.517209,"2013/12/08 15:20:14",15.2,1.428086
43.51742,1.517219,"2013/12/08 15:20:15",15.2,1.432303
43.517457,1.517228,"2013/12/08 15:20:16",15.2,1.43652
43.517495,1.517228,"2013/12/08 15:20:17",15.1,1.440701
43.517533,1.517227,"2013/12/08 15:20:18",15.1,1.444881
43.517554,1.517198,"2013/12/08 15:20:19",11.8,1.448171
43.517575,1.51717,"2013/12/08 15:20:20",11.8,1.451461
43.517596,1.517142,"2013/12/08 15:20:21",11.8,1.454752
43.517618,1.517113,"2013/12/08 15:20:22",11.8,1.458042
43.517639,1.517085,"2013/12/08 15:20:23",11.8,1.461332
43.51766,1.517057,"2013/12/08 15:20:24",11.8,1.464622
43.517681,1.517028,"2013/12/08 15:20:25",11.8,1.467912
43.517702,1.517,"2013/12/08 15:20:26",11.8,1.471202
43.517686,1.516942,"2013/12/08 15:20:27",17.9,1.476182
43.51767,1.516885,"2013/12/08 15:20:28",17.9,1.481162
43.517654,1.516827,"2013/12/08 15:20:29",17.9,1.486143
43.517638,1.516769,"2013/12/08 15:20:30",17.9,1.491123
43.517622,1.516712,"2013/12/08 15:20:31",17.9,1.496103
43.517606,1.516654,"2013/12/08 15:20:32",17.9,1.501083
43.51759,1.516597,"2013/12/08 15:20:33",17.9,1.506063
43.517574,1.516539,"2013/12/08 15:20:34",17.9,1.511044
43.517583,1.51649,"2013/12/08 15:20:35",14.6,1.515097
43.517591,1.516441,"2013/12/08 15:20:36",14.6,1.51915
43.5176,1.516393,"2013/12/08 15:20:37",14.6,1.523204
43.517608,1.516344,"2013/12/08 15:20:38",14.6,1.527257
43.517617,1.516295,"2013/12/08 15:20:39",14.6,1.53131
43.517625,1.516246,"2013/12/08 15:20:40",14.6,1.535364
43.517634,1.516197,"2013/12/08 15:20:41",14.6,1.539417
43.517642,1.516148,"2013/12/08 15:20:42",14.6,1.543471
43.517672,1.516107,"2013/12/08 15:20:43",17,1.548189
43.517702,1.516066,"2013/12/08 15:20:44",17,1.552908
43.517732,1.516024,"2013/12/08 15:20:45",17,1.557627
43.517762,1.515983,"2013/12/08 15:20:46",17,1.562346
43.517792,1.515941,"2013/12/08 15:20:47",17,1.567065
43.517822,1.5159,"2013/12/08 15:20:48",17,1.571783
43.517851,1.515858,"2013/12/08 15:20:49",17,1.576502
43.517881,1.515817,"2013/12/08 15:20:50",17,1.581221
43.517911,1.515775,"2013/12/08 15:20:51",17,1.58594
43.517941,1.515734,"2013/12/08 15:20:52",17,1.590659
43.517968,1.515694,"2013/12/08 15:20:53",15.8,1.595061
43.517996,1.515655,"2013/12/08 15:20:54",15.8,1.599464
43.518023,1.515616,"2013/12/08 15:20:55",15.8,1.603866
43.51805,1.515576,"2013/12/08 15:20:56",15.8,1.608269
43.518078,1.515537,"2013/12/08 15:20:57",15.8,1.612671
43.518105,1.515497,"2013/12/08 15:20:58",15.8,1.617074
43.518132,1.515458,"2013/12/08 15:20:59",15.8,1.621476
43.51816,1.515419,"2013/12/08 15:21:00",15.8,1.625879
43.518187,1.515379,"2013/12/08 15:21:01",15.8,1.630281
43.518214,1.51534,"2013/12/08 15:21:02",15.8,1.634684
43.518211,1.515287,"2013/12/08 15:21:03",15.5,1.638994
43.518207,1.515233,"2013/12/08 15:21:04",15.5,1.643304
43.518203,1.51518,"2013/12/08 15:21:05",15.5,1.647614
43.518199,1.515127,"2013/12/08 15:21:06",15.5,1.651924
43.518196,1.515074,"2013/12/08 15:21:07",15.5,1.656234
43.518174,1.515024,"2013/12/08 15:21:08",16.9,1.660928
43.518152,1.514975,"2013/12/08 15:21:09",16.9,1.665623
43.518135,1.514921,"2013/12/08 15:21:10",17,1.670349
43.518117,1.514868,"2013/12/08 15:21:11",17,1.675075
43.5181,1.514814,"2013/12/08 15:21:12",17,1.679801
43.518083,1.514761,"2013/12/08 15:21:13",17,1.684527
43.518066,1.514707,"2013/12/08 15:21:14",17,1.689253
43.518048,1.514656,"2013/12/08 15:21:15",16.5,1.693833
43.518031,1.514604,"2013/12/08 15:21:16",16.5,1.698413
43.518013,1.514553,"2013/12/08 15:21:17",16.5,1.702993
43.517996,1.514502,"2013/12/08 15:21:18",16.5,1.707574
43.517978,1.51445,"2013/12/08 15:21:19",16.5,1.712154
43.517961,1.514399,"2013/12/08 15:21:20",16.5,1.716734
43.517943,1.514348,"2013/12/08 15:21:21",16.5,1.721314
43.517926,1.514296,"2013/12/08 15:21:22",16.5,1.725894
43.517908,1.514245,"2013/12/08 15:21:23",16.5,1.730474
43.517891,1.514193,"2013/12/08 15:21:24",16.5,1.735054
43.517873,1.514142,"2013/12/08 15:21:25",16.5,1.739635
43.517856,1.514091,"2013/12/08 15:21:26",16.5,1.744215
43.517838,1.514039,"2013/12/08 15:21:27",16.5,1.748795
43.517821,1.513988,"2013/12/08 15:21:28",16.5,1.753375
43.517803,1.51393,"2013/12/08 15:21:29",18.5,1.758512
43.517784,1.513871,"2013/12/08 15:21:30",18.5,1.763649
43.517766,1.513813,"2013/12/08 15:21:31",18.5,1.768786
43.517748,1.513754,"2013/12/08 15:21:32",18.5,1.773922
43.517729,1.513696,"2013/12/08 15:21:33",18.5,1.779059
43.517711,1.513638,"2013/12/08 15:21:34",18.5,1.784196
43.517693,1.513579,"2013/12/08 15:21:35",18.5,1.789333
43.517675,1.513521,"2013/12/08 15:21:36",18.5,1.794469
43.517656,1.513462,"2013/12/08 15:21:37",18.5,1.799606
43.517638,1.513404,"2013/12/08 15:21:38",18.5,1.804743
43.51762,1.513345,"2013/12/08 15:21:39",18.5,1.80988
43.517601,1.513287,"2013/12/08 15:21:40",18.5,1.815017
43.517583,1.513229,"2013/12/08 15:21:41",18.5,1.820153
43.51757,1.513175,"2013/12/08 15:21:42",16.4,1.824698
43.517556,1.513122,"2013/12/08 15:21:43",16.4,1.829242
43.517542,1.513069,"2013/12/08 15:21:44",16.4,1.833787
43.517529,1.513016,"2013/12/08 15:21:45",16.4,1.838331
43.517516,1.512963,"2013/12/08 15:21:46",16.4,1.842876
43.517502,1.51291,"2013/12/08 15:21:47",16.4,1.84742
43.517488,1.512857,"2013/12/08 15:21:48",16.4,1.851965
43.517515,1.512833,"2013/12/08 15:21:49",12.5,1.855445
43.517541,1.512809,"2013/12/08 15:21:50",12.5,1.858926
43.517567,1.512785,"2013/12/08 15:21:51",12.5,1.862407
43.517593,1.512761,"2013/12/08 15:21:52",12.5,1.865888
43.517619,1.512737,"2013/12/08 15:21:53",12.5,1.869368
